hotel,lead_time,arrival_date_year,arrival_date_month,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,country,is_repeated_guest,previous_cancellations,reserved_room_type,customer_type,adr,guest_id,guest_name,guest_email
City Hotel,20,2017,May,23,0,1,2,0.0,0,PRT,0,0,A,Transient,150.0,G0001,Dylan Griffin,heather78@example.net
City Hotel,191,2017,August,11,2,5,2,0.0,0,GBR,0,0,A,Transient,112.1,G0002,James Brown,mark15@example.com
City Hotel,121,2016,July,23,1,1,2,0.0,0,DNK,0,0,A,Transient,105.3,G0003,Laura Anderson,nlewis@example.com
City Hotel,2,2016,July,1,0,1,2,0.0,0,AUS,0,0,A,Transient,147.0,G0004,Mario Johnson,halesusan@example.org
City Hotel,12,2017,May,23,0,1,1,0.0,0,PRT,0,0,A,Transient,110.0,G0005,Benjamin Willis,amccullough@example.net
City Hotel,0,2017,May,29,1,0,2,0.0,0,PRT,0,0,A,Transient,139.0,G0006,Justin Huynh DDS,chad66@example.com
City Hotel,86,2015,September,9,0,3,2,0.0,0,FRA,0,0,A,Transient-Party,100.0,G0007,John Trevino,qmartinez@example.com
City Hotel,2,2016,April,21,0,1,2,0.0,0,PRT,0,0,A,Transient,101.0,G0008,Michael Lopez,meyersstephanie@example.net
Resort Hotel,265,2017,June,15,0,3,2,0.0,0,ESP,0,0,A,Transient-Party,80.1,G0009,Ryan Simmons,christian68@example.com
City Hotel,92,2016,November,11,0,1,2,0.0,0,THA,0,0,A,Transient-Party,90.0,G0010,Laura Leon,james24@example.net
City Hotel,2,2015,September,9,0,2,2,0.0,0,AGO,0,0,A,Transient,154.0,G0011,Leslie Carr,aaronrice@example.com
City Hotel,0,2017,February,9,0,0,2,0.0,0,PRT,1,0,A,Transient,0.0,G0012,Terri Boyd,elizabethwilliams@example.org
City Hotel,56,2015,September,17,0,2,1,0.0,0,PRT,0,0,A,Transient-Party,58.0,G0013,Mark Cline,todd87@example.org
City Hotel,134,2017,February,25,0,1,1,0.0,0,PRT,0,0,A,Transient-Party,75.0,G0014,John Carpenter,tschwartz@example.org
Resort Hotel,42,2017,March,27,2,5,2,0.0,0,GBR,1,0,D,Group,63.07,G0015,Derrick Hobbs,traci18@example.net
Resort Hotel,251,2016,August,9,2,7,2,0.0,0,GBR,0,0,E,Transient-Party,195.98,G0016,Angela Gibson,dsmith@example.com
City Hotel,0,2016,July,20,0,4,2,0.0,0,DEU,0,0,A,Transient,99.7,G0017,Denise Cline,charles33@example.net
City Hotel,15,2017,June,7,0,2,1,0.0,0,FRA,0,0,A,Transient-Party,130.0,G0018,Nicholas Ellis,andrewdennis@example.org
Resort Hotel,6,2016,April,30,1,1,2,0.0,0,ESP,0,0,E,Transient,95.0,G0019,Stephanie Taylor,alexanderdavid@example.com
Resort Hotel,67,2015,September,28,1,3,2,0.0,0,GBR,0,0,F,Transient,70.84,G0020,Joshua Hudson,uperez@example.net
City Hotel,71,2016,April,24,2,1,2,0.0,0,PRT,0,0,A,Transient-Party,88.5,G0021,Jessica Armstrong,jeffreybecker@example.net
City Hotel,4,2016,April,17,2,1,2,2.0,0,FRA,0,0,F,Transient,152.85,G0022,Michael Taylor,nclayton@example.net
